,donorID,campaignID,frequency_donor,total_donated,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,C13,total_amount_1_month,total_freq_1_month,total_amount_2_month,total_freq_2_month,total_amount_3_month,total_freq_3_month,total_amount_4_month,total_freq_4_month,total_amount_5_month,total_freq_5_month,total_amount_6_month,total_freq_6_month,Recency_dono,zipcode,province,region,gender,language,total_freq_till_now,total_amount_till_now,freq_out_campaign,amount_out_campaign,freq_in_campaign,amount_in_campaign,total_amount_till_last_3_years,total_freq_till_last_3_years,donated_more_than30_duringdv,Age
7239,108716,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2550.0,1.0,2.0,0.0,3.0,8.0,169.78,1.0,5.0,7.0,164.78,0.0,0.0,0,54.0
7240,108717,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3680.0,7.0,2.0,0.0,3.0,3.0,61.97,1.0,12.39,2.0,49.58,0.0,0.0,0,48.0
7241,108718,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8570.0,12.0,2.0,0.0,3.0,1.0,12.39,0.0,0.0,1.0,12.39,0.0,0.0,0,44.0
7242,108720,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3051.0,4.0,2.0,1.0,3.0,6.0,37.190000000000005,0.0,0.0,6.0,37.190000000000005,0.0,0.0,0,36.0
7243,108722,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8720.0,12.0,2.0,0.0,3.0,1.0,14.87,0.0,0.0,1.0,14.87,0.0,0.0,0,57.0
7244,108724,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2340.0,1.0,2.0,0.0,3.0,3.0,39.66,0.0,0.0,3.0,39.66,0.0,0.0,0,23.0
7245,108725,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3020.0,4.0,2.0,0.0,3.0,2.0,49.58,0.0,0.0,2.0,49.58,0.0,0.0,0,50.0
7246,108726,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8870.0,12.0,2.0,0.0,3.0,8.0,214.28,1.0,24.79,7.0,189.49,0.0,0.0,0,47.0
7247,108729,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1785.0,4.0,2.0,1.0,3.0,1.0,24.79,1.0,24.79,0.0,0.0,0.0,0.0,0,49.0
7248,108730,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2330.0,1.0,2.0,0.0,3.0,1.0,24.79,0.0,0.0,1.0,24.79,0.0,0.0,0,23.0
7249,108731,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2100.0,1.0,2.0,0.0,3.0,2.0,49.58,0.0,0.0,2.0,49.58,0.0,0.0,0,38.0
7250,108732,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1170.0,2.0,1.0,1.0,2.0,1.0,24.79,0.0,0.0,1.0,24.79,0.0,0.0,0,67.0
7251,108733,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2180.0,1.0,2.0,0.0,3.0,3.0,74.37,0.0,0.0,3.0,74.37,0.0,0.0,0,26.0
7252,108734,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1331.0,11.0,4.0,0.0,2.0,9.0,302.75,0.0,0.0,9.0,302.75,0.0,0.0,0,27.0
7253,108735,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8755.0,12.0,2.0,1.0,3.0,2.0,53.55,1.0,26.28,1.0,27.27,0.0,0.0,0,40.0
7254,108736,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8000.0,12.0,2.0,0.0,3.0,10.0,331.44,0.0,0.0,10.0,331.44,0.0,0.0,0,55.0
7255,108738,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8890.0,12.0,2.0,0.0,3.0,1.0,24.79,0.0,0.0,1.0,24.79,0.0,0.0,0,44.0
