,donorID,campaignID,frequency_donor,total_donated,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,C13,total_amount_1_month,total_freq_1_month,total_amount_2_month,total_freq_2_month,total_amount_3_month,total_freq_3_month,total_amount_4_month,total_freq_4_month,total_amount_5_month,total_freq_5_month,total_amount_6_month,total_freq_6_month,Recency_dono,Unnamed: 0_x,zipcode,province,region,gender,language,Unnamed: 0_y,total_freq_till_now,total_amount_till_now,freq_out_campaign,amount_out_campaign,freq_in_campaign,amount_in_campaign,total_amount_till_last_3_years,total_freq_till_last_3_years,Age
22977,101278,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1277,2610.0,1,2,0.0,3,11198.0,3.0,2354.9900000000002,0.0,0.0,3.0,2354.9900000000002,0.0,0.0,46
22978,142564,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42563,3540.0,7,2,0.0,3,212120.0,1.0,40.0,0.0,0.0,1.0,40.0,40.0,1.0,34
22979,136053,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36052,3910.0,7,2,0.0,3,199216.0,3.0,15.0,0.0,0.0,3.0,15.0,0.0,0.0,50
22980,112224,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12223,9280.0,3,2,0.0,3,96299.0,6.0,75.97,0.0,0.0,6.0,75.97,0.0,0.0,42
22981,130467,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30466,1730.0,4,2,0.0,3,181161.0,3.0,92.25,0.0,0.0,3.0,92.25,0.0,0.0,50
22982,105272,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5271,3040.0,4,2,0.0,3,47648.0,14.0,173.45999999999998,0.0,0.0,14.0,173.45999999999998,0.0,0.0,63
22983,135131,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35130,9820.0,3,2,1.0,3,196545.0,3.0,100.0,0.0,0.0,3.0,100.0,0.0,0.0,42
22984,104966,7199.0,1.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,257.0,4965,8200.0,12,2,0.0,3,44817.0,5.0,213.19,1.0,24.79,4.0,188.4,0.0,0.0,40
22985,128843,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28842,2500.0,1,2,0.0,3,175997.0,2.0,68.25,0.0,0.0,2.0,68.25,0.0,0.0,33
22986,120793,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20792,3770.0,7,2,1.0,3,141536.0,34.0,332.39,0.0,0.0,34.0,332.39,0.0,0.0,33
22987,121591,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21590,2100.0,1,2,0.0,3,145106.0,3.0,98.78999999999999,0.0,0.0,3.0,98.78999999999999,41.0,1.0,66
22988,103646,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3645,9572.0,3,2,0.0,3,33894.0,3.0,17.44,0.0,0.0,3.0,17.44,0.0,0.0,48
22989,113505,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13504,2800.0,1,2,1.0,3,104452.0,1.0,7.44,0.0,0.0,1.0,7.44,0.0,0.0,43
22990,113469,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13468,8211.0,12,2,0.0,3,104296.0,9.0,312.08,2.0,70.0,7.0,242.07999999999998,0.0,0.0,54
