,donorID,campaignID,frequency_donor,total_donated,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,C13,total_amount_1_month,total_freq_1_month,total_amount_2_month,total_freq_2_month,total_amount_3_month,total_freq_3_month,total_amount_4_month,total_freq_4_month,total_amount_5_month,total_freq_5_month,total_amount_6_month,total_freq_6_month,Recency_dono,total_donated_during_dv,gender,dateOfBirth,province_Brussels,province_East Flanders,province_Flemish Brabant,province_Hainaut,province_Liege,province_Limburg,province_Luxembourg,province_Missing,province_Namur,province_Walloon Brabant,province_West Flanders,region_Flanders,region_Missing,region_Wallonia,language_FR,language_NL,total_freq_till_now,total_amount_till_now,freq_out_campaign,amount_out_campaign,freq_in_campaign,amount_in_campaign,total_amount_till_last_3_years,total_freq_till_last_3_years,donated_more_than30_duringdv,Age
5343,112307,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,1974-01-03,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,13.0,378.18,0.0,0.0,13.0,378.18,0.0,0.0,0,45
5344,112308,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,1974-09-18,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,13.0,279.53,1.0,12.39,12.0,267.14,0.0,0.0,0,44
5345,112312,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1961-11-10,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,2.0,87.18,0.0,0.0,2.0,87.18,0.0,0.0,0,57
5346,112317,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1972-04-16,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,20.0,686.18,0.0,0.0,20.0,686.18,81.0,2.0,0,47
5347,112320,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1972-08-31,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,5.0,152.39,0.0,0.0,5.0,152.39,0.0,0.0,0,46
5348,112322,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,1982-06-04,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,3.0,94.8,0.0,0.0,3.0,94.8,0.0,0.0,0,37
5349,112332,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1992-07-09,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,3.0,46.21000000000001,1.0,33.81,2.0,12.4,0.0,0.0,0,26
5350,112338,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1966-07-14,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,14.0,332.75,0.0,0.0,14.0,332.75,0.0,0.0,0,52
5351,112344,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1967-03-18,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,15.0,346.03,0.0,0.0,15.0,346.03,0.0,0.0,0,52
5352,112346,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,1969-07-05,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,5.0,136.6,0.0,0.0,5.0,136.6,0.0,0.0,0,49
